,,,,,,
Navn,Sol hele dagen,Fra,Til,Kommentar,lat,lon
Royal Gastropub,Nei,,20:30,I August er solen til 19:30 på somemr selvfølgelig lengre. ,59.91077367719153,10.752416999356386
Peloton,Nei,11:30,19:30,,59.917871510196996,10.754060169224104
Vulkanfisk,Ja,,,Antar,59.92240406558729,10.751781830597217
Lucky Bird,Ja,,,Antar,59.92316507955449,10.751865415255256
Theatercafeen,Nei,,11:00,Forsvinner formiddag kl 11,59.914556029047276,10.73393389196158
Erlik Kaffe,Nei,12:30,,Hele dagen fra litt før lunch,59.914738312931256,10.743124291961728
Fiskeriet Youngstorget,Nei,15:00,20:00,,59.914923757661015,10.749569930592118
Lofthus Samvirkelag avd- Kunstnernes Hus,Nei,,19:00,,59.91979317786726,10.730404399910508
Way Down South,Nei,13:00,19:00,,59.91929196293545,10.754609607855194
Pica Pica Kafe og Bar,Nei,,17:00,,59.932284663115276,10.725008830603988
Oslo Raw Bakery,Nei,12:00,17:00,,59.93278523932471,10.733995469234422
Sunt og Nam Oslo,Nei,11:00,19:00,,59.91308880898013,10.73626223059081
Aku Aku Tikibar,Nei,15:00,17:00,,59.925466491243185,10.759878260736345
Ekebergrestauranten,Nei,12:00,20:00,,59.899916465193186,10.761561169211653
Foodie,Nei,15:00,16:00,,59.913162322125224,10.73628180730318
Cafekontoret,Nei,12:00,19:00,,59.909122812207386,10.768339030587978
